Topic,Frequency,Date,Terms
1,37,2021-11-02,"teach, school, ban, public"
2,42,2021-11-02,"school, indiana, teach, parent"
3,15,2021-11-02,"book, library, school, pornographic"
4,30,2021-11-02,"education, parent, school, charge"
5,70,2021-11-02,"democrats, republicans, election, 2022"
6,60,2021-11-02,"youngkin, glenn, virginia, mcauliffe"
7,56,2021-11-02,"virginia, governor, gop, democrats"
8,33,2021-11-02,"america, democracy, american, opium"
9,16,2021-11-02,"biden, joe, alert, president"
10,2,2021-11-02,"flight, alien, florida, redistricting"
11,2,2021-11-02,"setmayer, tara, collapses, scandalride"
12,21,2021-11-02,"racism, white, antiracism, teach"
13,17,2021-11-02,"fbi, doj, garland, memo"
14,10,2021-11-02,"china, consequence, war, revolution"
15,12,2021-11-02,"parent, maher, disingenuous, clash"
16,33,2021-11-02,"board, county, loudoun, school"
17,9,2021-11-02,"military, milley, troop, war"
18,22,2021-11-02,"woke, wokeness, argument, stupid"
19,14,2021-11-02,"covid, vaccine, pandemic, covid19"
20,8,2021-11-02,"training, goodwill, equity, whistleblower"
21,10,2021-11-02,"gop, nicolle, wallace, real"
22,4,2021-11-02,"justice, social, pseudoreligion, scary"
23,8,2021-11-02,"texas, businessman, rinke, village"
24,3,2021-11-02,"union, teacher, gingrich, quiz"
25,11,2021-11-02,"domestic, letter, association, boards"
26,7,2021-11-02,"medical, guide, association, american"
27,4,2021-11-02,"1619, project, nikole, hannahjones"
28,8,2021-11-02,"reid, msnbc, joy, sears"
0,13,2021-11-30,"killer, waukesha, ahmaud, monitoring"
1,18,2021-11-30,"dakota, detroit, superintendent, ban"
2,25,2021-11-30,"anticrt, fire, massachusetts, district"
3,11,2021-11-30,"book, child, kid, school"
4,12,2021-11-30,"education, parents, open, kid"
5,14,2021-11-30,"2022, democrats, party, republican"
6,4,2021-11-30,"youngkin, govelect, data, pick"
7,8,2021-11-30,"candidate, virginia, senate, governor"
8,19,2021-11-30,"america, farright, climate, moms"
9,9,2021-11-30,"biden, manchin, remarkably, bidenera"
10,12,2021-11-30,"desantis, florida, act, stop"
11,4,2021-11-30,"supreme, court, religious, absolutism"
12,12,2021-11-30,"white, playground, backlash, families"
13,3,2021-11-30,"doj, trafficking, griffin, device"
14,3,2021-11-30,"china, distract, lengthens, taiwan"
15,11,2021-11-30,"parent, guilty, deplatform, phantom"
16,12,2021-11-30,"board, loudoun, county, school"
17,4,2021-11-30,"facing, toy, shortage, donation"
18,12,2021-11-30,"woke, salvation, army, reallife"
19,15,2021-11-30,"covid, chronicle, antivaxx, vaccine"
20,1,2021-11-30,"adl, newportmesa, unified, threaten"
21,1,2021-11-30,"accuses, falsely, pushing, conference"
22,3,2021-11-30,"gomez, pseudoreligions, archbishop, descend"
23,1,2021-11-30,"nunes, devin, weirdness, bailing"
24,5,2021-11-30,"union, hampshire, teacher, teachers"
25,2,2021-11-30,"association, national, chapters, domestic"
26,8,2021-11-30,"medical, guide, salvation, army"
27,3,2021-11-30,"1619, project, hannahjones, professional"
-1,1,2021-12-28,"neal, mccluskey, pondering, prophetic"
0,17,2021-12-28,"university, marxism, storage, revelation"
1,21,2021-12-28,"walk, mississippi, ban, bill"
2,23,2021-12-28,"anticrt, dayone, impartial, professor"
3,9,2021-12-28,"book, author, ban, recommend"
4,17,2021-12-28,"education, public, miseducation, front"
5,31,2021-12-28,"2021, democrats, 2022, election"
6,28,2021-12-28,"youngkin, glenn, virginia, office"
7,15,2021-12-28,"virginia, governor, gop, senate"
8,19,2021-12-28,"america, systems, redemption, heading"
9,15,2021-12-28,"biden, joe, yamiche, alcindor"
10,13,2021-12-28,"desantis, florida, ron, discomfort"
11,2,2021-12-28,"durant, hawk, realization, laud"
12,7,2021-12-28,"white, disciplinary, openly, pyramid"
13,3,2021-12-28,"doj, parentgate, wider, groundwork"
14,6,2021-12-28,"chinese, revolution, marxist, china"
15,7,2021-12-28,"parent, instances, wise, marine"
16,11,2021-12-28,"county, loudoun, board, sexual"
17,4,2021-12-28,"hopes, neutral, finding, difficult"
18,6,2021-12-28,"woke, corporations, literature, krugman"
19,6,2021-12-28,"covid, pandemic, covid19, fluidity"
20,1,2021-12-28,"prison, donald, trump, training"
21,4,2021-12-28,"lawmaker, friend, gop, halfwitte"
22,1,2021-12-28,"justice, social, church, christian"
23,2,2021-12-28,"texas, gillespie, treibs, bio"
24,5,2021-12-28,"union, teacher, teachers, pandemic"
25,12,2021-12-28,"letter, domestic, secretary, boards"
26,4,2021-12-28,"idea, medical, report, theoryrelate"
27,3,2021-12-28,"1619, project, nikole, hannahjones"
0,33,2022-01-25,"goldberg, whoopi, history, month"
1,22,2022-01-25,"teach, ban, bill, georgia"
2,22,2022-01-25,"anticrt, account, bill, crtinspire"
3,14,2022-01-25,"book, maus, ban, week"
4,13,2022-01-25,"education, week, nuclear, strong"
5,22,2022-01-25,"democrats, republicans, 2022, midterm"
6,22,2022-01-25,"youngkin, virginia, glenn, tip"
7,13,2022-01-25,"virginia, gop, governor, gavel"
8,18,2022-01-25,"america, saving, looming, canada"
9,10,2022-01-25,"biden, joe, president, dem"
10,9,2022-01-25,"desantis, florida, ron, gov"
11,3,2022-01-25,"supreme, court, admissions, bolts"
12,15,2022-01-25,"white, supremacy, racism, retracts"
13,4,2022-01-25,"sentence, doj, lenient, politicking"
14,5,2022-01-25,"lindsay, revolution, james, china"
15,5,2022-01-25,"video, livestream, talks, basketball"
16,17,2022-01-25,"board, county, recall, loudoun"
17,7,2022-01-25,"military, retired, star, failure"
18,4,2022-01-25,"woke, undercover, troll, spiritual"
19,6,2022-01-25,"covid, covid19, treatment, reimagine"
20,4,2022-01-25,"classified, mishandling, training, trump"
21,8,2022-01-25,"gop, cnn, foray, lineup"
22,3,2022-01-25,"harry, twilight, delegate, potter"
23,2,2022-01-25,"texas, antiimmigrant, advise, theorist"
24,4,2022-01-25,"union, teachers, teacher, antimisinformation"
25,5,2022-01-25,"jews, email, terrorism, domestic"
26,5,2022-01-25,"health, medical, nasty, priest"
27,4,2022-01-25,"history, traction, 1619, project"
28,1,2022-01-25,"audits, rufo, chris, activist"
0,6,2022-02-22,"view, cohosts, fingers, victimize"
1,12,2022-02-22,"mississippi, bill, ban, sign"
2,8,2022-02-22,"anticrt, bill, dakota, holocaust"
3,13,2022-02-22,"book, gender, young, sex"
4,8,2022-02-22,"extremism, taboo, german, smarter"
5,16,2022-02-22,"midterm, party, democrats, election"
6,10,2022-02-22,"youngkin, virginia, glenn, superintendent"
7,4,2022-02-22,"adjourn, unfinished, undertheradar, gaps"
8,13,2022-02-22,"convoy, america, homework, precise"
9,9,2022-02-22,"biden, octopus, putin, invasion"
10,10,2022-02-22,"florida, desantis, pass, limit"
11,50,2022-02-22,"jackson, ketanji, brown, hearing"
12,9,2022-02-22,"discipline, white, racebase, pizza"
13,1,2022-02-22,"protesting, ags, doj, investigate"
14,4,2022-02-22,"trevor, loudon, marxism, china"
15,4,2022-02-22,"sorbo, sam, organize, giant"
16,5,2022-02-22,"board, county, parents, meeting"
17,4,2022-02-22,"military, chemical, brass, weapons"
18,3,2022-02-22,"template, sued, anticatharsis, comedy"
19,3,2022-02-22,"fastfade, covid, mlb, agitprop"
20,3,2022-02-22,"app, hits, training, trump"
21,6,2022-02-22,"gop, lengthy, badfaith, unfold"
22,3,2022-02-22,"tv, clip, cinema, remarkable"
23,6,2022-02-22,"texas, abbott, dynasty, sxsw"
24,4,2022-02-22,"teachers, union, teacher, primaries"
26,3,2022-02-22,"health, top, medical, xavier"
27,1,2022-02-22,"image, awards, nikole, hannahjones"
28,2,2022-02-22,"reid, joy, zucker, handily"
0,15,2022-03-23,"math, reject, cite, florida"
1,20,2022-03-23,"math, textbook, kristi, reject"
2,18,2022-03-23,"reject, math, florida, anticrt"
3,24,2022-03-23,"book, disney, transgender, kid"
4,7,2022-03-23,"education, usurp, sake, rosiak"
5,22,2022-03-23,"democrats, midterm, republicans, gop"
6,2,2022-03-23,"line, youngkin, submission, snitch"
7,7,2022-03-23,"trumpback, digest, morning, challenger"
8,9,2022-03-23,"constitution, progressive, real, rectify"
9,8,2022-03-23,"biden, budget, atrocious, sink"
10,24,2022-03-23,"desantis, florida, ron, gay"
11,52,2022-03-23,"jackson, brown, ketanji, hearing"
12,13,2022-03-23,"white, supremacy, antiracist, district"
13,1,2022-03-23,"moderate, myth, fall, merrick"
14,5,2022-03-23,"china, marxism, yuri, cetera"
15,4,2022-03-23,"black, pursues, libel, homicides"
16,4,2022-03-23,"board, member, engagement, prioritize"
17,2,2022-03-23,"barbs, embarrass, trade, gaetz"
18,9,2022-03-23,"woke, reset, real, wokeness"
20,2,2022-03-23,"gathering, earthquake, aide, vp"
21,2,2022-03-23,"kushner, fantasize, tony, vice"
22,7,2022-03-23,"christians, faith, exrussian, jennings"
23,2,2022-03-23,"veto, evers, dozen, battleground"
24,4,2022-03-23,"teachers, union, polyqueer, repeal"
26,2,2022-03-23,"physicians, discriminate, subway, injure"
27,2,2022-03-23,"1619, bestseller, filibuster, historical"
28,6,2022-03-23,"chris, rufo, reid, joy"
0,13,2022-04-20,"abbreviate, roundup, advocate, pundit"
1,9,2022-04-20,"prohibit, k12, ban, teaching"
2,17,2022-04-20,"anticrt, plagiarism, disinformation, czar"
3,24,2022-04-20,"book, gender, censorship, club"
4,20,2022-04-20,"public, education, kid, randi"
5,25,2022-04-20,"party, democrats, republicans, election"
6,2,2022-04-20,"youngkin, delay, remain, pa"
7,23,2022-04-20,"primary, ohio, governor, senate"
8,23,2022-04-20,"america, war, left, institution"
9,12,2022-04-20,"biden, joe, czar, disinformation"
10,33,2022-04-20,"desantis, florida, ron, textbook"
11,14,2022-04-20,"abortion, jackson, brown, ketanji"
12,12,2022-04-20,"white, superior, people, privilege"
13,3,2022-04-20,"garland, counterterrorism, fbi, investigate"
14,5,2022-04-20,"communism, connections, russianamerican, dare"
15,7,2022-04-20,"parent, tsar, ranting, layoff"
16,12,2022-04-20,"board, school, county, bus"
17,3,2022-04-20,"rustfree, kyiv, widow, solidarity"
18,12,2022-04-20,"woke, content, textbook, math"
19,9,2022-04-20,"covid, relief, fund, money"
21,9,2022-04-20,"gop, unimaginable, culture, imagine"
22,3,2022-04-20,"groomer, jesus, alive, analyst"
23,5,2022-04-20,"texas, abbott, voucher, greg"
24,4,2022-04-20,"union, teachers, borderline, illiterate"
25,3,2022-04-20,"typo, site, porn, link"
26,5,2022-04-20,"medical, top, report, theoryrelate"
27,3,2022-04-20,"1619, project, pave, hannah"
28,13,2022-04-20,"reid, joy, msnbc, brewer"
0,7,2022-05-18,"racist, inspiration, homicide, recession"
1,9,2022-05-18,"education, school, ban, raceessentialism"
2,12,2022-05-18,"linda, placentiayorba, unified, department"
3,18,2022-05-18,"book, child, gender, transgender"
4,11,2022-05-18,"education, educational, rightwing, focus"
5,10,2022-05-18,"republicans, party, democrats, conspiracy"
6,1,2022-05-18,"fleece, eye, youngkin, glenn"
7,16,2022-05-18,"primary, governor, virginia, gop"
8,17,2022-05-18,"power, america, backstory, consensus"
9,4,2022-05-18,"biden, internment, japaneseamerican, agendabender"
10,5,2022-05-18,"florida, desantis, multimillionaire, travel"
11,6,2022-05-18,"jackson, ketanji, brown, roe"
12,11,2022-05-18,"white, student, racism, antiracist"
14,2,2022-05-18,"practitioner, falun, famine, gong"
15,3,2022-05-18,"weapon, fight, material, deny"
16,4,2022-05-18,"board, exdisinformation, flopping, ideologue"
17,3,2022-05-18,"cabinency, dunce, readiness, undermining"
18,8,2022-05-18,"woke, corporate, wake, succumbs"
19,5,2022-05-18,"covid, covid19, fallout, backslide"
20,3,2022-05-18,"portal, welsh, talented, training"
21,2,2022-05-18,"herschel, firebrand, walker, issues"
22,3,2022-05-18,"church, vicar, trainee, institutionally"
23,7,2022-05-18,"texas, shooting, gop, point"
24,5,2022-05-18,"teachers, union, teacher, retention"
25,10,2022-05-18,"letter, domestic, nsba, terrorism"
26,3,2022-05-18,"inject, medicine, pollution, yesterday"
27,1,2022-05-18,"esteem, boost, history, american"
28,1,2022-05-18,"erupt, newspaper, super, rufo"
0,9,2022-06-15,"uk, councils, bojo, postdoxxe"
1,11,2022-06-15,"cadet, west, point, teach"
2,11,2022-06-15,"teach, oklahoma, judicial, audit"
3,10,2022-06-15,"antilgbtq, drag, read, event"
4,15,2022-06-15,"education, american, kid, schools"
5,7,2022-06-15,"elaine, kiggansdemocrat, latina, luria"
6,7,2022-06-15,"youngkin, glenn, stir, virginia"
7,9,2022-06-15,"primary, virginia, gop, governor"
8,13,2022-06-15,"america, bye, birthday, fourth"
9,6,2022-06-15,"biden, joe, omits, federalize"
10,10,2022-06-15,"desantis, florida, ron, newsom"
11,6,2022-06-15,"supreme, court, abort, concert"
12,8,2022-06-15,"whiteness, individualism, pediatrician, rewind"
13,3,2022-06-15,"garland, doj, assassination, stations"
14,2,2022-06-15,"leverage, subvert, philosopher, mao"
15,3,2022-06-15,"tiffany, cofounder, ca, destructive"
16,4,2022-06-15,"board, unisex, cleveland, patriots"
17,8,2022-06-15,"military, academy, graduates, leadership"
18,7,2022-06-15,"woke, monticello, jefferson, thomas"
19,3,2022-06-15,"shocked, stupidity, stalinist, trial"
20,5,2022-06-15,"fish, training, racial, dept"
21,2,2022-06-15,"electability, zeldin, representative, gop"
22,5,2022-06-15,"church, demanding, calvin, atheist"
23,11,2022-06-15,"texas, involuntary, relocation, slavery"
24,5,2022-06-15,"teacher, job, obtain, floridians"
26,3,2022-06-15,"health, reprimand, medical, med"
27,1,2022-06-15,"bodies, regulatory, professional, standards"
0,5,2022-07-13,"statesanction, anglican, outearn, americansand"
1,3,2022-07-13,"wary, kemp, segregationist, increase"
2,8,2022-07-13,"tulsa, mom, violate, ban"
3,12,2022-07-13,"library, book, transgender, sex"
4,15,2022-07-13,"education, betsy, devos, money"
5,13,2022-07-13,"party, democrats, 2022, midterm"
6,2,2022-07-13,"kellogg, keith, youngkin, suit"
7,15,2022-07-13,"primary, arizona, gop, senate"
8,14,2022-07-13,"america, science, corporate, change"
9,2,2022-07-13,"russiagate, destruction, suspect, wisdom"
10,7,2022-07-13,"desantis, defendant, florida, jail"
11,4,2022-07-13,"roe, shames, freedom, redstate"
12,5,2022-07-13,"downgrade, white, people, shame"
13,6,2022-07-13,"garland, fbi, doj, ag"
14,2,2022-07-13,"methods, permanently, emulate, lindsay"
15,5,2022-07-13,"jackhammer, grapples, fatherhood, freezes"
16,4,2022-07-13,"board, minnesotabase, hillsdaleaffiliate, school"
17,4,2022-07-13,"military, weaken, recruit, sight"
18,10,2022-07-13,"woke, wokeness, clashes, ethan"
19,2,2022-07-13,"covid, infection, overly, stunning"
20,2,2022-07-13,"electrifies, hint, summit, training"
21,3,2022-07-13,"wartinge, pharma, uphold, admissions"
22,3,2022-07-13,"listening, perplex, toll, evangelical"
23,1,2022-07-13,"turbocharge, megadonor, shift, farright"
24,5,2022-07-13,"union, teachers, teacher, disrespect"
26,1,2022-07-13,"colleges, medical, association, slam"
28,1,2022-07-13,"boast, embarrassing, mag, correction"
0,5,2022-08-11,"ucla, track, archetype, girdusky"
1,5,2022-08-11,"students, matching, volunteers, orientations"
2,4,2022-08-11,"oklahoma, qr, banned, unanimously"
3,23,2022-08-11,"gender, book, library, lgbtq"
4,16,2022-08-11,"education, kid, ap, african"
5,7,2022-08-11,"capitalism, republicans, terrify, meckler"
6,2,2022-08-11,"tyrannical, stoke, reach, youngkin"
7,4,2022-08-11,"change, slope, slippery, cd"
8,12,2022-08-11,"america, infighting, cuddle, monkeypox"
9,6,2022-08-11,"biden, secrets, exaggerate, democrat"
10,19,2022-08-11,"desantis, florida, crist, judge"
12,8,2022-08-11,"noise, consciousness, eyeopening, monkey"
13,1,2022-08-11,"steam, adam, laxalt, ted"
14,3,2022-08-11,"revolution, china, asianamerican, heading"
15,2,2022-08-11,"antiunion, checklist, fights, backtoschool"
16,8,2022-08-11,"board, allegiance, school, parent"
17,1,2022-08-11,"chairman, chiefs, joint, general"
18,3,2022-08-11,"woke, phony, fume, billionaire"
19,1,2022-08-11,"covidrelief, money, send, challenge"
20,3,2022-08-11,"amex, antithetical, quota, hustle"
22,2,2022-08-11,"esg, separation, investors, thee"
23,8,2022-08-11,"texas, traumainduce, reception, unstable"
24,13,2022-08-11,"union, teacher, ad, teachers"
26,1,2022-08-11,"housing, impose, health, care"
27,1,2022-08-11,"fine, project, 1776, line"
0,6,2022-09-08,"hostin, sunny, sociological, wellfund"
1,6,2022-09-08,"pledge, teenager, pole, dancing"
2,3,2022-09-08,"credential, fenway, baseball, park"
3,25,2022-09-08,"gender, book, transition, queen"
4,11,2022-09-08,"education, parent, child, maitland"
5,11,2022-09-08,"republicans, clinton, rank, election"
6,3,2022-09-08,"youngkin, gretchen, fault, comprise"
7,7,2022-09-08,"candidate, woman, mandela, braddock"
8,8,2022-09-08,"freedom, differentiate, altar, populism"
9,4,2022-09-08,"biden, hidin, embarrassed, riff"
10,5,2022-09-08,"desantis, florida, nonsensical, corral"
11,3,2022-09-08,"abortion, ga, characterize, hypothetical"
12,5,2022-09-08,"moore, grift, sahar, paywall"
13,3,2022-09-08,"fbi, doj, stuff, altercation"
14,1,2022-09-08,"fraternity, cult, marxist, congress"
15,5,2022-09-08,"parent, proequity, carnegie, chat"
16,16,2022-09-08,"board, newportmesa, unified, county"
17,6,2022-09-08,"military, general, indoctrinating, gear"
18,7,2022-09-08,"woke, esg, unbundle, percent"
19,4,2022-09-08,"covid, vaccine, oregon, weakening"
20,2,2022-09-08,"training, sponsors, facility, nhs"
21,5,2022-09-08,"whine, unironically, scares, smallpox"
22,3,2022-09-08,"prolife, church, pastor, premiere"
23,2,2022-09-08,"hogan, texas, position, larry"
24,6,2022-09-08,"union, teacher, teachers, hand"
26,1,2022-09-08,"experiment, nazi, endure, survivor"
27,1,2022-09-08,"mythory, heart, history, 1619"
28,3,2022-09-08,"reid, joy, compare, action"
0,6,2022-10-06,"foxhole, painful, coiner, exceed"
1,6,2022-10-06,"place, studentteacher, pringle, trainer"
2,5,2022-10-06,"cal, prevalent, study, fullerton"
3,10,2022-10-06,"gender, book, lgbtq, partisan"
4,12,2022-10-06,"scores, education, test, conservative"
5,15,2022-10-06,"midterm, democrats, election, republicans"
6,3,2022-10-06,"youngkin, glenn, shutter, heroism"
7,8,2022-10-06,"governor, kari, lake, tim"
8,16,2022-10-06,"america, death, times, country"
10,9,2022-10-06,"desantis, crist, florida, ron"
11,5,2022-10-06,"supreme, jackson, court, hearing"
12,6,2022-10-06,"whiteness, classmate, arguments, stabbed"
13,9,2022-10-06,"doj, garland, ag, memo"
14,3,2022-10-06,"rewiring, china, minds, technology"
15,6,2022-10-06,"fuel, rightwing, parent, falcon"
16,10,2022-10-06,"board, school, county, loudoun"
17,2,2022-10-06,"scared, jesus, opinion, antiwoke"
18,4,2022-10-06,"woke, grandparent, levi, exec"
19,4,2022-10-06,"covid, behavioral, psychology, vaccine"
20,1,2022-10-06,"shooting, michigan, blame, gubernatorial"
21,1,2022-10-06,"baugh, porter, issues, clash"
22,3,2022-10-06,"religion, contrary, christianity, church"
23,4,2022-10-06,"texas, abbott, prestigious, overshadow"
24,2,2022-10-06,"todo, shocked, substitute, racebaiting"
25,2,2022-10-06,"spade, factcheck, letter, antifa"
0,2,2022-11-03,"freudianism, nhs, body, trust"
1,6,2022-11-03,"superintendent, litter, bogus, cat"
2,5,2022-11-03,"catturd, summary, depressingly, revamp"
3,8,2022-11-03,"censorship, book, lgbtqi, allfemale"
4,13,2022-11-03,"education, money, dark, network"
5,21,2022-11-03,"midterm, election, day, republican"
6,2,2022-11-03,"youngkin, glenn, unknown, firearm"
7,17,2022-11-03,"virginia, arizona, election, michigan"
8,12,2022-11-03,"person, dangerous, pompeo, america"
9,2,2022-11-03,"roasts, announcement, biden, landslide"
10,23,2022-11-03,"desantis, florida, judge, ron"
12,7,2022-11-03,"superior, white, whiteness, yacovone"
13,2,2022-11-03,"kyrie, net, weaponization, irving"
14,2,2022-11-03,"profiter, maryott, china, challenger"
16,9,2022-11-03,"board, certify, notch, county"
17,8,2022-11-03,"military, woke, canadian, warfighter"
18,4,2022-11-03,"destructive, woke, medicine, kheriaty"
19,2,2022-11-03,"fund, trick, preeminent, questionable"
20,2,2022-11-03,"discriminatory, seattle, racially, employee"
21,3,2022-11-03,"multifront, insanity, banks, tech"
22,5,2022-11-03,"justice, social, subordinate, entail"
23,5,2022-11-03,"texas, hold, apathy, mayra"
24,6,2022-11-03,"union, teachers, person, pompeo"
26,7,2022-11-03,"medical, report, top, health"
27,1,2022-11-03,"1619, woe, project, subway"
0,3,2022-12-01,"masquerade, flop, publication, dei"
1,8,2022-12-01,"california, file, criticize, north"
2,5,2022-12-01,"griner, faithful, unlawfully, prize"
3,10,2022-12-01,"inappropriate, gender, drag, event"
4,8,2022-12-01,"schools, choice, education, leftwing"
5,6,2022-12-01,"2022, schlub, sbf, opinions"
6,2,2022-12-01,"youngkin, indirectly, partnership, touts"
8,4,2022-12-01,"motheroffour, dominican, surgery, bleeding"
10,8,2022-12-01,"desantis, ron, florida, imprison"
11,2,2022-12-01,"analogy, brnovich, wreck, confuse"
12,7,2022-12-01,"student, oppression, white, class"
16,4,2022-12-01,"loudoun, county, board, oversaw"
17,4,2022-12-01,"military, wokeness, coast, recount"
18,4,2022-12-01,"woke, antimccarthy, row, balanced"
19,1,2022-12-01,"reinstates, jersey, covid, mandate"
20,1,2022-12-01,"undergo, massachusetts, organization, amendment"
21,4,2022-12-01,"false, duck, theorysupport, lame"
22,2,2022-12-01,"overseas, grants, nationalism, atheism"
24,4,2022-12-01,"unions, teachers, union, teacher"
26,3,2022-12-01,"health, crisis, declare, inequity"
27,1,2022-12-01,"hulu, docuserie, 1619, project"
